id,government_id,diagnosed_date,age,gender,detected_city,detected_district,detected_state,nationality,current_status,status_change_date,notes
191,GID-191,2020-08-08,89,Male,Chennai,East,Delhi,United States,Hospitalized,2020-12-21,Elit eiusmod et do tempor consectetur amet magna
192,GID-192,2021-02-10,46,Female,Jaipur,Central,Uttar Pradesh,United States,Deceased,2021-05-16,Dolor magna ipsum labore tempor incididunt eiusmod elit
193,GID-193,,14,,,,,,,,
194,GID-194,2020-09-29,88,Female,Lucknow,Suburban,West Bengal,United States,Recovered,2020-07-25,Labore consectetur dolor incididunt aliqua do dolore amet
195,GID-195,2021-03-03,87,Male,Delhi,North,Tamil Nadu,India,Deceased,2020-10-12,Incididunt eiusmod lorem amet elit sed ut et
196,GID-196,2021-02-15,41,Female,Pune,South,Uttar Pradesh,United States,Recovered,2020-02-22,Et labore dolor ipsum eiusmod aliqua tempor incididunt
197,GID-197,2020-04-20,85,Male,Bengaluru,Central,West Bengal,China,Migrated,2020-05-20,Labore consectetur amet ipsum et elit eiusmod sit
198,GID-198,2021-05-31,31,Female,Ahmedabad,Central,Gujarat,India,Deceased,2021-05-24,Amet dolor lorem consectetur incididunt do ipsum sit
199,GID-199,,71,,,,,,,,
200,GID-200,2021-03-05,24,Female,Delhi,West,West Bengal,Nepal,Hospitalized,2020-07-15,Magna tempor labore sed dolor ipsum ut elit
